clientID,time
1,7173
2,9260
3,13792
4,21789
5,21631
6,25808
7,20071
8,27317
9,28155
10,20573
11,20056
12,27699
13,27813
14,27787
15,20638
16,18258
17,15827
18,22080
19,20799
20,13975
21,14178
22,28142
23,24145
24,25124
25,33852
26,20799
27,15661
28,32550
29,20383
30,17989
31,16611
32,13943
33,19211
34,20481
35,20520
36,24381
37,26865
38,21473
39,38970
40,22745
41,23818
42,26451
43,19918
44,35748
45,26458
46,19593
47,21740
48,22894
49,24132
50,32012
51,29746
52,20172
53,29411
54,30259
55,23277
56,22684
57,14370
58,20689
59,13295
60,21873
61,15152
62,21387
63,17756
64,10942
65,10810
66,10303
67,14475
68,13571
69,29387
70,15559
71,24494
72,29504
73,20976
74,15448
75,22530
76,24438
77,24021
78,20452
79,16025
80,18252
81,17601
82,22652
83,28705
84,30213
85,25619
86,35413
87,15272
88,17476
89,24338
90,26044
91,19907
92,20912
93,14168
94,15853
95,15484
96,11478
97,13362
98,11738
99,10849
100,8296
