clientID,time
1,5431
2,5083
3,8696
4,9674
5,9581
6,12125
7,18555
8,19178
9,24943
10,28879
11,30582
12,33277
13,18061
14,30398
15,21101
16,18760
17,19922
18,23059
19,19655
20,20920
21,22782
22,25641
23,20016
24,12202
25,25575
26,25589
27,29333
28,18499
29,27695
30,25898
31,14207
32,16820
33,30945
34,42719
35,38912
36,37548
37,32512
38,27546
39,21134
40,23453
41,24105
42,40132
43,39672
44,42349
45,37620
46,38546
47,28512
48,22801
49,29671
50,36188
51,45584
52,37511
53,18877
54,22001
55,37843
56,33773
57,33702
58,33935
59,29760
60,31002
61,49385
62,26556
63,27267
64,39351
65,37801
66,27291
67,35618
68,27662
69,20442
70,19738
71,23722
72,20244
73,16292
74,15555
75,12269
