clientID,time
1,18301
2,42432
3,66851
4,90469
5,105097
6,109047
7,113226
8,135900
9,157055
10,172849
11,190445
12,213828
13,218380
14,244562
15,269730
16,295988
17,308169
18,322092
19,328785
20,349992
21,365705
22,383300
23,388865
24,411693
25,429642
26,435823
27,455824
28,471692
29,490224
30,508119
31,531162
32,541231
33,551855
34,555971
35,570866
36,587957
37,605684
38,610122
39,615161
40,640864
41,652110
42,660356
43,678944
44,700696
45,704108
46,716016
47,718764
48,728671
49,741417
50,759982
51,764260
52,790278
53,813125
54,815886
55,835783
56,844238
57,865410
58,880709
59,903117
60,920259
61,929660
62,945895
63,957425
64,972428
65,990926
66,1011608
67,1033790
68,1053856
69,1064798
70,1087635
71,1103720
72,1114141
73,1139383
74,1154198
75,1176774
76,1189604
77,1208045
78,1218951
79,1229940
80,1240786
81,1248595
82,1268402
83,1279031
84,1286497
85,1310936
86,1331320
87,1356430
88,1361692
89,1377813
90,1381416
91,1399199
92,1410642
93,1423489
94,1447026
95,1464595
96,1484136
97,1498116
98,1508285
99,1522652
100,1537737
