clientID,time
1,4803
2,7095
3,8296
4,9302
5,12553
6,14419
7,17345
8,20487
9,23325
10,25105
11,26799
12,29341
13,41853
14,45371
15,49732
16,53025
17,54192
18,56046
19,60477
20,61684
21,63523
22,65694
23,67434
24,68183
25,70213
26,71477
27,72212
28,75159
29,76608
30,77387
31,78981
32,81672
33,83550
34,85748
35,87021
36,88492
37,92265
38,95099
39,101269
40,104766
41,105913
42,107592
43,105947
44,108840
45,111382
46,113034
47,116364
48,118976
49,120471
50,122553
51,125571
52,128090
53,128769
54,131441
55,131955
56,133639
57,135784
58,136680
59,138765
60,139483
61,140636
62,144319
63,147598
64,149870
65,151699
66,152424
67,154235
68,155503
69,157303
70,158022
71,159692
72,162277
73,166210
74,169157
75,170344
