clientID,time
1,3792
2,5503
3,8519
4,9394
5,11381
6,13108
7,16503
8,17983
9,20267
10,21149
11,21893
12,24956
13,26553
14,28810
15,30971
16,33781
17,36005
18,39102
19,41530
20,43767
21,46875
22,47547
23,50366
24,53042
25,56095
26,57211
27,58003
28,59316
29,61994
30,62567
31,65826
32,66637
33,70406
34,71613
35,74892
36,78369
37,81231
38,84504
39,91455
40,94307
41,98044
42,99087
43,101057
44,101666
45,102913
46,106111
47,108849
48,109465
49,111208
50,112868
51,115726
52,117430
53,119901
54,120518
55,122097
56,123317
57,125845
58,126559
59,129048
60,129165
61,131963
62,136062
63,138721
64,140745
65,142733
66,144415
67,146899
68,149494
69,153028
70,156135
71,158871
72,160900
73,161836
74,164428
75,165894
76,169018
77,171947
78,174374
79,175753
80,178912
81,180234
82,186353
83,187322
84,189187
85,191115
86,192679
87,195638
88,197195
89,200433
90,203367
91,205237
92,206277
93,206983
94,209603
95,212676
96,214812
97,217006
98,219450
99,221495
100,223944
