clientID,time
1,81250
2,78969
3,85597
4,78450
5,50744
6,133304
7,81990
8,87158
9,56767
10,57661
11,59541
12,56862
13,68466
14,62392
15,74912
16,49465
17,157503
18,72518
19,96072
20,176651
21,69215
22,91358
23,102477
24,86187
25,69502
26,89489
27,101407
28,90218
29,113455
30,111438
31,164878
32,113265
33,122343
34,112700
35,90752
36,112324
37,117763
38,178402
39,99490
40,114557
41,170488
42,114589
43,106731
44,107533
45,113286
46,123667
47,112256
48,164407
49,104374
50,103605
51,102676
52,119819
53,110464
54,108225
55,103057
56,148576
57,106038
58,92707
59,119073
60,145010
61,99494
62,127605
63,102120
64,134244
65,106358
66,118041
67,100930
68,96574
69,107488
70,99846
71,104011
72,106618
73,121565
74,97482
75,114903
76,102975
77,115284
78,111129
79,103614
80,93390
81,108452
82,99996
83,105784
84,92900
85,100086
86,97666
87,86842
88,93107
89,85955
90,84815
91,84298
92,83956
93,82093
94,82417
95,81228
96,81793
97,76008
98,75218
99,72311
100,76306
