clientID,time
1,1913
2,1824
3,2469
4,4397
5,3012
6,2153
7,2324
8,2925
9,2051
10,2212
11,1713
12,2492
13,3830
14,2151
15,2134
16,1748
17,2406
18,1466
19,1350
20,2155
21,1486
22,4963
23,10634
24,8866
25,7706
26,9497
27,6490
28,5862
29,4666
30,2377
31,8804
32,6228
33,11180
34,5044
35,12404
36,13064
37,15144
38,16552
39,11880
40,9581
41,6739
42,10125
43,7576
44,5457
45,5601
46,3462
47,3446
48,2114
49,1625
50,1631
51,1492
52,5934
53,3383
54,4324
55,4643
56,3282
57,1530
58,3582
59,3813
60,6623
61,6166
62,10959
63,8326
64,23688
65,14911
66,11105
67,15060
68,12116
69,18087
70,18015
71,9185
72,18013
73,9022
74,17459
75,15132
76,21311
77,7720
78,19079
79,44314
80,43256
81,39972
82,14465
83,24418
84,28705
85,14787
86,23454
87,23758
88,20152
89,24498
90,20830
91,23389
92,17170
93,20003
94,15225
95,16323
96,12763
97,11269
98,9180
99,6559
100,5912
