clientID,time
1,15764
2,22059
3,47676
4,55272
5,38204
6,40156
7,25085
8,45252
9,40646
10,35409
11,23600
12,38991
13,27293
14,27194
15,23850
16,45470
17,31531
18,52888
19,63325
20,26103
21,40470
22,25754
23,35841
24,24643
25,28938
26,26099
27,37390
28,44536
29,38129
30,48705
31,37368
32,48843
33,49614
34,48145
35,50773
36,50173
37,25880
38,41984
39,28204
40,41498
41,47435
42,53937
43,38695
44,57141
45,53239
46,50533
47,47126
48,44820
49,22275
50,52732
51,37184
52,49947
53,38973
54,46629
55,48285
56,27813
57,49424
58,55459
59,142045
60,52386
61,27450
62,48869
63,43578
64,32166
65,58432
66,84781
67,65472
68,98133
69,56215
70,54368
71,50314
72,45974
73,53564
74,48954
75,45073
76,43920
77,51840
78,47065
79,55061
80,76042
81,32769
82,69083
83,41118
84,58149
85,59124
86,58043
87,39420
88,55705
89,51007
90,45156
91,36563
92,43903
93,42310
94,39071
95,29339
96,37749
97,34312
98,29902
99,26519
100,21852
