clientID,time
1,49466
2,74047
3,51070
4,80971
5,54485
6,211911
7,56660
8,76480
9,65928
10,75279
11,83291
12,92607
13,50219
14,56006
15,186499
16,50352
17,84455
18,79018
19,99391
20,83720
21,103956
22,106216
23,113667
24,107590
25,64941
26,74731
27,67953
28,23028
29,99383
30,185089
31,107279
32,118826
33,114921
34,99384
35,126622
36,182170
37,126804
38,123542
39,123438
40,179613
41,123243
42,118397
43,116976
44,158596
45,114535
46,110400
47,165957
48,158987
49,157737
50,107702
51,115675
52,103539
53,157081
54,105239
55,150093
56,146317
57,99869
58,100613
59,146600
60,101975
61,100063
62,100554
63,110079
64,99499
65,103790
66,131412
67,87437
68,97541
69,104805
70,99102
71,121541
72,99127
73,98663
74,100709
75,96458
76,96614
77,98366
78,109026
79,92702
80,82175
81,92052
82,90473
83,85726
84,93259
85,89712
86,88089
87,90433
88,83684
89,76920
90,75334
91,82771
92,76446
93,79156
94,79136
95,76848
96,73008
97,71395
98,66830
99,64061
100,63591
