clientID,time
1,79950
2,50147
3,57281
4,85236
5,56403
6,106364
7,61497
8,89767
9,53143
10,69004
11,130068
12,90642
13,91004
14,113119
15,87924
16,96628
17,92355
18,122459
19,97510
20,97335
21,59325
22,130774
23,128492
24,82912
25,92412
26,52418
27,90782
28,96480
29,93785
30,80765
31,87320
32,89070
33,88596
34,88161
35,87109
36,112050
37,86479
38,87860
39,89157
40,117271
41,90230
42,113338
43,110397
44,97888
45,83790
46,103282
47,83006
48,81575
49,79913
50,97381
51,67584
52,75739
53,73176
54,90454
55,65334
56,87579
57,74869
58,71213
59,81034
60,71020
61,69352
62,70972
63,68902
64,65010
65,63667
66,64954
67,61720
68,60880
69,59993
70,59541
71,55164
72,56561
73,56513
74,53939
75,54629
