clientID,time
1,61590
2,50536
3,12172
4,61605
5,60376
6,45927
7,39722
8,50890
9,40374
10,21218
11,70657
12,18358
13,51631
14,59263
15,72101
16,83648
17,53704
18,78329
19,82318
20,108636
21,67801
22,65795
23,60004
24,105762
25,102634
26,82428
27,38433
28,75356
29,24375
30,58268
31,75248
32,102316
33,44085
34,68589
35,59424
36,71380
37,64924
38,68487
39,88019
40,67275
41,86466
42,81318
43,63045
44,64842
45,66869
46,59955
47,68213
48,66342
49,75286
50,62674
51,61244
52,63640
53,59070
54,64056
55,53859
56,58479
57,55010
58,59729
59,51576
60,37295
61,46450
62,47799
63,51473
64,50942
65,41196
66,38945
67,39654
68,42635
69,38394
70,39301
71,38618
72,37727
73,31579
74,33732
75,32310
