clientID,time
1,3225
2,13892
3,4969
4,7957
5,5630
6,7298
7,7259
8,5144
9,3254
10,2450
11,2232
12,1398
13,18504
14,16643
15,17373
16,15238
17,17623
18,14683
19,13957
20,13731
21,10530
22,9227
23,9405
24,6841
25,1551
26,3841
27,1810
28,2698
29,2319
30,12150
31,6225
32,10804
33,11690
34,8485
35,11548
36,6556
37,7808
38,6680
39,4536
40,2554
41,3472
42,2444
43,4756
44,5936
45,11464
46,9655
47,9703
48,17869
49,32798
50,29296
51,39492
52,30010
53,50395
54,29803
55,46476
56,28413
57,43976
58,30026
59,27539
60,19925
61,23547
62,38064
63,29778
64,32370
65,27168
66,27043
67,21347
68,19444
69,17122
70,16675
71,14160
72,13354
73,12054
74,10445
75,8634
